Date,Variacion_IPC,IPC_suma
1993-12-01,0.5,310.59999999999997
1994-01-01,1.0,311.59999999999997
1994-02-01,0.0,311.59999999999997
1994-03-01,0.3,311.9
1994-04-01,0.4,312.29999999999995
1994-05-01,0.2,312.49999999999994
1994-06-01,0.1,312.59999999999997
1994-07-01,0.4,312.99999999999994
1994-08-01,0.6,313.59999999999997
1994-09-01,0.3,313.9
1994-10-01,0.2,314.09999999999997
1994-11-01,0.2,314.29999999999995
1994-12-01,0.4,314.69999999999993
1995-01-01,1.0,315.69999999999993
1995-02-01,0.5,316.19999999999993
1995-03-01,0.6,316.79999999999995
1995-04-01,0.5,317.29999999999995
1995-05-01,0.0,317.29999999999995
1995-06-01,0.1,317.4
1995-07-01,0.0,317.4
1995-08-01,0.3,317.7
1995-09-01,0.4,318.09999999999997
1995-10-01,0.2,318.29999999999995
1995-11-01,0.3,318.59999999999997
1995-12-01,0.3,318.9
1996-01-01,0.6,319.5
1996-02-01,0.3,319.8
1996-03-01,0.4,320.2
1996-04-01,0.6,320.8
1996-05-01,0.3,321.1
1996-06-01,-0.1,321.0
1996-07-01,0.1,321.1
1996-08-01,0.3,321.40000000000003
1996-09-01,0.2,321.6
1996-10-01,0.1,321.70000000000005
1996-11-01,0.0,321.70000000000005
1996-12-01,0.3,322.00000000000006
1997-01-01,0.3,322.30000000000007
1997-02-01,-0.1,322.20000000000005
1997-03-01,0.0,322.20000000000005
1997-04-01,0.0,322.20000000000005
1997-05-01,0.1,322.30000000000007
1997-06-01,0.0,322.30000000000007
1997-07-01,0.2,322.50000000000006
1997-08-01,0.4,322.90000000000003
1997-09-01,0.5,323.40000000000003
1997-10-01,0.0,323.40000000000003
1997-11-01,0.2,323.6
1997-12-01,0.3,323.90000000000003
1998-01-01,0.2,324.1
1998-02-01,-0.2,323.90000000000003
1998-03-01,0.0,323.90000000000003
1998-04-01,0.2,324.1
1998-05-01,0.1,324.20000000000005
1998-06-01,0.1,324.30000000000007
1998-07-01,0.4,324.70000000000005
1998-08-01,0.3,325.00000000000006
1998-09-01,0.1,325.1000000000001
1998-10-01,0.0,325.1000000000001
1998-11-01,-0.1,325.00000000000006
1998-12-01,0.3,325.30000000000007
